title,url,author,price,currency,is_free,genre,thumbnail_url,thumbnail_path,scrape_date,listing_type,source_page
Killer Chat! Overkill DLC,https://rosesrot.itch.io/killer-chat-overkill-dlc,,0,,True,,https://img.itch.zone/aW1nLzIzNTkxOTkxLnBuZw==/original/WxlOvp.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/WxlOvp.png,2025-12-19,top_sellers,top_sellers_page_1
Express No.6,https://askgames.itch.io/express-no6,,0,,True,,https://img.itch.zone/aW1nLzI0NDUyMjg5LnBuZw==/original/cRZwtq.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/cRZwtq.png,2025-12-19,top_sellers,top_sellers_page_1
Blasters of the Universe VR Bullet Hell,https://secretlocation.itch.io/blasters-of-the-universe,,0,,True,,https://img.itch.zone/aW1nLzM0NTEwMzYucG5n/original/GmWWsy.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/GmWWsy.png,2025-12-19,top_sellers,top_sellers_page_1
Musketeer (C64),https://psytronik.itch.io/musketeer,,0,,True,,https://img.itch.zone/aW1nLzIxNzcxNTI3LnBuZw==/original/cnkMzv.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/cnkMzv.png,2025-12-19,top_sellers,top_sellers_page_1
Transpose,https://secretlocation.itch.io/transpose,,0,,True,,https://img.itch.zone/aW1nLzM0NDk5MjYucG5n/original/EDFSK%2B.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/EDFSK%2B.png,2025-12-19,top_sellers,top_sellers_page_1
NIGHT OF THE CONSUMERS,https://germfood.itch.io/nightoftheconsumers,,0,,True,,https://img.itch.zone/aW1nLzIwNTUwMTkxLnBuZw==/original/nqAtRN.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/nqAtRN.png,2025-12-19,top_sellers,top_sellers_page_1
Criminally Yours,https://meant-to-bee-studios.itch.io/criminally-yours,,0,,True,,https://img.itch.zone/aW1nLzIyNzkwNDY3LnBuZw==/original/Io32%2Fa.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/Io32%2Fa.png,2025-12-19,top_sellers,top_sellers_page_1
Grave Rogue 2 Game Boy,https://madsoxgames.itch.io/grave-rogue-2-game-boy,,0,,True,,https://img.itch.zone/aW1nLzI0MzQ2ODYwLnBuZw==/original/M2uqhX.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/M2uqhX.png,2025-12-19,top_sellers,top_sellers_page_1
Repurpose,https://residentrabbit.itch.io/repurpose,,0,,True,,https://img.itch.zone/aW1nLzEwNDQzNzAxLnBuZw==/original/IFkd2j.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/IFkd2j.png,2025-12-19,top_sellers,top_sellers_page_1
Evolution,https://keiwan.itch.io/evolution,,0,,True,,https://img.itch.zone/aW1hZ2UvOTEyMDEvNjExNTExLnBuZw==/original/jihCZR.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/jihCZR.png,2025-12-19,top_sellers,top_sellers_page_1
Lancer Tactics,https://wick.itch.io/lancer-tactics,,0,,True,,https://img.itch.zone/aW1nLzIyODg3NzU4LmdpZg==/originalm/kxNMnm.gif,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/kxNMnm.gif,2025-12-19,top_sellers,top_sellers_page_1
A Date with Death - Beyond the Bet DLC,https://twoandahalfstudios.itch.io/beyond-the-bet-dlc,,0,,True,,https://img.itch.zone/aW1nLzE4NjMyNTA4LnBuZw==/original/SzmHec.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/SzmHec.png,2025-12-19,top_sellers,top_sellers_page_1
Casualties: Unknown,https://orsonik.itch.io/scav-prototype,,0,,True,,https://img.itch.zone/aW1nLzI0NDU0NjY4LnBuZw==/original/mnn%2FOr.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/mnn%2FOr.png,2025-12-19,top_sellers,top_sellers_page_1
My Sweet! Housemate,https://sourmiiiilk.itch.io/my-sweet-housemate,,0,,True,,https://img.itch.zone/aW1nLzE5MzU0MjE3LnBuZw==/original/zpkHVr.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/zpkHVr.png,2025-12-19,top_sellers,top_sellers_page_1
The Choicer Voicer,https://yeahmaybe.itch.io/the-choicer-voicer,,0,,True,,https://img.itch.zone/aW1nLzE2NzMxNTMxLnBuZw==/original/VAt8zJ.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/VAt8zJ.png,2025-12-19,top_sellers,top_sellers_page_1
The Not-Deer Stew,https://roawrvideostore.itch.io/the-not-deer-stew,,0,,True,,https://img.itch.zone/aW1nLzI0MjA5MzQxLmpwZw==/original/Dy0lYA.jpg,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/Dy0lYA.jpg,2025-12-19,top_sellers,top_sellers_page_1
The Trial of Kharzoid,https://theoldgamemaker.itch.io/the-trial-of-kharzoid,,0,,True,,https://img.itch.zone/aW1nLzEzODM2NjI1LnBuZw==/original/ffP3n3.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/ffP3n3.png,2025-12-19,top_sellers,top_sellers_page_1
Pok̩Path TD,https://khydra98.itch.io/pokepath,,0,,True,,https://img.itch.zone/aW1nLzI0MzE2MTUwLnBuZw==/original/L854aH.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/L854aH.png,2025-12-19,top_sellers,top_sellers_page_1
WolfQuest,https://eduweb.itch.io/wolfquest,,0,,True,,https://img.itch.zone/aW1nLzIzMTMyNDEuanBlZw==/original/pgDp7h.jpeg,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/pgDp7h.jpeg,2025-12-19,top_sellers,top_sellers_page_1
Soul of Sovereignty Prelude,https://gigidigi.itch.io/soulsov,,0,,True,,https://img.itch.zone/aW1nLzIwMTk5NzA5LnBuZw==/original/IxPp5g.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/IxPp5g.png,2025-12-19,top_sellers,top_sellers_page_1
Fear Assessment,https://alexander-wiseman.itch.io/fear-assessment,,0,,True,,https://img.itch.zone/aW1nLzE2NDEzNjkwLmpwZw==/original/%2BNgWuy.jpg,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/%2BNgWuy.jpg,2025-12-19,top_sellers,top_sellers_page_1
Lonely Christmas,https://askgames.itch.io/lonely-christmas,,0,,True,,https://img.itch.zone/aW1nLzE5MzE4MzUyLnBuZw==/original/4zL4kP.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/4zL4kP.png,2025-12-19,top_sellers,top_sellers_page_1
CorgiSpace,https://finji.itch.io/corgispace,,0,,True,,https://img.itch.zone/aW1nLzI0MDA0MjQ2LnBuZw==/original/seWKIp.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/seWKIp.png,2025-12-19,top_sellers,top_sellers_page_1
BeanAttack,https://dripdevcat.itch.io/beanattack,,0,,True,,https://img.itch.zone/aW1nLzY4NTk3ODkucG5n/original/gqxe%2BR.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/gqxe%2BR.png,2026-01-01,top_sellers,top_sellers_page_1
Pok̩Path TD,https://khydra98.itch.io/pokepath,,0,,True,,https://img.itch.zone/aW1nLzI0MzE2MTUwLnBuZw==/original/L854aH.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/L854aH.png,2026-01-01,top_sellers,top_sellers_page_1
"""Voices Of The Void"" Pre-Alpha",https://mrdrnose.itch.io/votv,,0,,True,,https://img.itch.zone/aW1nLzE3Mzk3NTAwLnBuZw==/original/0IThYX.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/0IThYX.png,2026-01-01,top_sellers,top_sellers_page_1
The Freak Circus,https://garula.itch.io/the-freak-circus,,0,,True,,https://img.itch.zone/aW1nLzIxNjQxODI1LnBuZw==/original/sIu4WS.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/sIu4WS.png,2026-01-01,top_sellers,top_sellers_page_1
Repurpose,https://residentrabbit.itch.io/repurpose,,0,,True,,https://img.itch.zone/aW1nLzEwNDQzNzAxLnBuZw==/original/IFkd2j.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/IFkd2j.png,2026-01-01,top_sellers,top_sellers_page_1
Sherwood (C64),https://psytronik.itch.io/sherwood,,0,,True,,https://img.itch.zone/aW1nLzI0MTQxMDgyLnBuZw==/original/ROgPlZ.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/ROgPlZ.png,2026-01-01,top_sellers,top_sellers_page_1
WolfQuest,https://eduweb.itch.io/wolfquest,,0,,True,,https://img.itch.zone/aW1nLzIzMTMyNDEuanBlZw==/original/pgDp7h.jpeg,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/pgDp7h.jpeg,2026-01-01,top_sellers,top_sellers_page_1
Night of the Nun... aka Nun Massacre,https://puppetcombo.itch.io/nun-massacre,,0,,True,,https://img.itch.zone/aW1nLzE1NTkzMzguZ2lm/originalm/t8Zf7O.gif,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/t8Zf7O.gif,2026-01-01,top_sellers,top_sellers_page_1
A Date with Death - Beyond the Bet DLC,https://twoandahalfstudios.itch.io/beyond-the-bet-dlc,,0,,True,,https://img.itch.zone/aW1nLzE4NjMyNTA4LnBuZw==/original/SzmHec.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/SzmHec.png,2026-01-01,top_sellers,top_sellers_page_1
14 Days With You [DEMO],https://cutiesai.itch.io/14dayswithyou,,0,,True,,https://img.itch.zone/aW1nLzIxNDc0NDEzLnBuZw==/original/6PxyjO.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/6PxyjO.png,2026-01-01,top_sellers,top_sellers_page_1
"The World Is Doomed Unless I Can Raise My Power Level to 1,000,000 and Confront the Demon Lord",https://reav.itch.io/demon-lord,,0,,True,,https://img.itch.zone/aW1nLzIwMDgxMzIyLnBuZw==/original/vImFuy.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/vImFuy.png,2026-01-01,top_sellers,top_sellers_page_1
My Sweet! Housemate,https://sourmiiiilk.itch.io/my-sweet-housemate,,0,,True,,https://img.itch.zone/aW1nLzE5MzU0MjE3LnBuZw==/original/zpkHVr.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/zpkHVr.png,2026-01-01,top_sellers,top_sellers_page_1
NIGHT OF THE CONSUMERS,https://germfood.itch.io/nightoftheconsumers,,0,,True,,https://img.itch.zone/aW1nLzIwNTUwMTkxLnBuZw==/original/nqAtRN.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/nqAtRN.png,2026-01-01,top_sellers,top_sellers_page_1
Criminally Yours,https://meant-to-bee-studios.itch.io/criminally-yours,,0,,True,,https://img.itch.zone/aW1nLzIyNzkwNDY3LnBuZw==/original/Io32%2Fa.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/Io32%2Fa.png,2026-01-01,top_sellers,top_sellers_page_1
That's not my Neighbor,https://nachogames.itch.io/thats-not-my-neighbor,,0,,True,,https://img.itch.zone/aW1nLzE1MDAzMjAyLnBuZw==/original/rTXFaC.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/rTXFaC.png,2026-01-01,top_sellers,top_sellers_page_1
Love and Sex: Second Base - Lively World,https://andrealphus.itch.io/lw,,0,,True,,https://img.itch.zone/aW1nLzI0NTc4Njg5LnBuZw==/original/gqkxcm.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/gqkxcm.png,2026-01-01,top_sellers,top_sellers_page_1
Final Fight MD (Mega Drive),https://mxretrodev.itch.io/final-fight-md,,0,,True,,https://img.itch.zone/aW1nLzE0NzMwMjE1LmpwZw==/original/vZfQKJ.jpg,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/vZfQKJ.jpg,2026-01-01,top_sellers,top_sellers_page_1
Hellversus,https://kyo-hei.itch.io/hellversus,,0,,True,,https://img.itch.zone/aW1nLzgwMjAwODMucG5n/original/%2FxTc4B.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/%2FxTc4B.png,2026-01-01,top_sellers,top_sellers_page_1
The Choicer Voicer,https://yeahmaybe.itch.io/the-choicer-voicer,,0,,True,,https://img.itch.zone/aW1nLzE2NzMxNTMxLnBuZw==/original/VAt8zJ.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/VAt8zJ.png,2026-01-01,top_sellers,top_sellers_page_1
Lancer Tactics,https://wick.itch.io/lancer-tactics,,0,,True,,https://img.itch.zone/aW1nLzIyODg3NzU4LmdpZg==/originalm/kxNMnm.gif,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/kxNMnm.gif,2026-01-01,top_sellers,top_sellers_page_1
Musketeer (C64),https://psytronik.itch.io/musketeer,,0,,True,,https://img.itch.zone/aW1nLzIxNzcxNTI3LnBuZw==/original/cnkMzv.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/cnkMzv.png,2026-01-01,top_sellers,top_sellers_page_1
ANATOMY,https://kittyhorrorshow.itch.io/anatomy,,0,,True,,https://img.itch.zone/aW1hZ2UvNTUwMjMvMjQ2MDYzLnBuZw==/original/WVrLz4.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/WVrLz4.png,2026-01-01,top_sellers,top_sellers_page_1
Mortician Final Night,https://azagamestudio.itch.io/mortician-final-night,,0,,True,,https://img.itch.zone/aW1nLzI0NjUyMDc0LnBuZw==/original/hIuh4c.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/hIuh4c.png,2026-01-01,top_sellers,top_sellers_page_1
Killer Chat! Overkill DLC,https://rosesrot.itch.io/killer-chat-overkill-dlc,,0,,True,,https://img.itch.zone/aW1nLzIzNTkxOTkxLnBuZw==/original/WxlOvp.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/WxlOvp.png,2026-01-01,top_sellers,top_sellers_page_1
Dead Trust,https://hexnut-studios.itch.io/dead-trust,,0,,True,,https://img.itch.zone/aW1nLzI0Mjk0OTg1LnBuZw==/original/GRxpb1.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/GRxpb1.png,2026-01-01,top_sellers,top_sellers_page_1
Soul of Sovereignty Prelude,https://gigidigi.itch.io/soulsov,,0,,True,,https://img.itch.zone/aW1nLzIwMTk5NzA5LnBuZw==/original/IxPp5g.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/IxPp5g.png,2026-01-01,top_sellers,top_sellers_page_1
Where Winter Crows Go,https://prikarin.itch.io/where-winter-crows-go,,0,,True,,https://img.itch.zone/aW1nLzEzNzkwNTM2LnBuZw==/original/AHA4uE.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/AHA4uE.png,2026-01-01,top_sellers,top_sellers_page_1
Basilisk - 2000,https://akuma-kira.itch.io/basilisk-2000,,0,,True,,https://img.itch.zone/aW1nLzk5ODUxMjQucG5n/original/aEO%2FgJ.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/aEO%2FgJ.png,2026-01-01,top_sellers,top_sellers_page_1
Immortality Factory,https://korbohned.itch.io/immortality-incremental,,0,,True,,https://img.itch.zone/aW1nLzIzMDgyNzM3LnBuZw==/original/ytb1g4.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/ytb1g4.png,2026-01-01,top_sellers,top_sellers_page_1
Buckshot Roulette,https://mikeklubnika.itch.io/buckshot-roulette,,0,,True,,https://img.itch.zone/aW1nLzE0NjIyNDk0LnBuZw==/original/iTohTc.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/iTohTc.png,2026-01-01,top_sellers,top_sellers_page_1
Dead Dating - Your Gay Summer Horror Bromance,https://fymm-game.itch.io/ddp,,0,,True,,https://img.itch.zone/aW1nLzE2MDQ1OTk4LnBuZw==/original/%2BXxykQ.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/%2BXxykQ.png,2026-01-01,top_sellers,top_sellers_page_1
Love at The Milky Way Diner - Early Access,https://clumsycatstudio.itch.io/love-at-the-milky-way-diner,,0,,True,,https://img.itch.zone/aW1nLzE1NjQ5MjQ0LnBuZw==/original/QNQtxF.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/QNQtxF.png,2026-01-01,top_sellers,top_sellers_page_1
University Football,https://dashaunbarnes.itch.io/university-football,,0,,True,,https://img.itch.zone/aW1nLzI0NzU3NjI1LnBuZw==/original/rtBjCV.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/rtBjCV.png,2026-01-01,top_sellers,top_sellers_page_1
A Date with Death,https://twoandahalfstudios.itch.io/a-date-with-death,,0,,True,,https://img.itch.zone/aW1nLzEzMjI3MDAyLnBuZw==/original/HWokqy.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/HWokqy.png,2026-01-01,top_sellers,top_sellers_page_1
OBSCURA,https://rottenraccoons.itch.io/obscura,,0,,True,,https://img.itch.zone/aW1nLzEyMDMzNTMyLnBuZw==/original/T0nMWI.png,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/T0nMWI.png,2026-01-01,top_sellers,top_sellers_page_1
[DLC] Bloody Painter Dating Sim - Valentine,https://delucat.itch.io/bloody-painter-dating-sim-dlc-valentines-day,,0,,True,,https://img.itch.zone/aW1nLzIwMTMzODgwLmpwZw==/original/uvjXFr.jpg,/home/runner/work/GameGleaner/GameGleaner/data/thumbnails/uvjXFr.jpg,2026-01-01,top_sellers,top_sellers_page_1
